sample number,soil pH,Organic Matter,Phosphorus,Potasium,Calcium,Magnesium,Sulfur,boron,Cupper,Iron,Manganese,Zinc,Sodium,Conductivity,Nitrogen-Nitrate,cec,cat sat K,cat sat Ca,cat sat Mg,cat sat H,cat sat Na,K/Mg,Ca/Mg,%sand,%silt,%clay,apparent density,field capacity,Permanent wilting point,soil pH1,Organic Matter1,Phosphorus1,Potasium1,Calcium1,Magnesium1,Sulfur1,boron1,Cupper1,Iron1,Manganese1,Zinc1,Sodium1,cec1,Ca/Mg1,Texture1,Final evaluation
1,5.2,4.3,12,64,713,102,33,0.2,1.8,103,174,1.9,23,0.06,7,7.2,2.3,49.5,11.8,34.7,1.4,0.22,4.19,17,41,42,1.27,35.8,19.4,unsuitable,media,low,low,low,low,high,unsuitable,high,high,high,low,high,unsuitable,media,media,bad
2,5,4.3,6,54,712,89,43,0.1,1.4,91,202,1.3,15,0.07,6,7.6,1.8,46.8,9.8,40.8,0.9,0.14,4.78,13,45,42,1.25,36.7,19.9,unsuitable,media,unsuitable,low,low,low,high,unsuitable,high,high,high,low,high,unsuitable,media,media,bad
3,5.8,4.2,1,27,763,76,58,0.1,0.4,61,214,0.5,14,0.04,8,5.7,1.2,66.9,11.1,19.3,1.1,0.17,6.03,46,15,39,1.37,28.2,15.3,low,media,unsuitable,unsuitable,low,low,high,unsuitable,low,high,high,unsuitable,high,unsuitable,media,unsuitable,bad
4,5.4,4.5,5,59,622,84,52,0.1,1.2,74,179,1.2,12,0.09,10,5.6,2.7,55.5,12.5,28.6,0.9,0.29,4.44,49,13,38,1.39,27.1,14.7,unsuitable,media,unsuitable,low,low,low,high,unsuitable,media,high,high,low,high,unsuitable,media,unsuitable,bad
5,5.5,5.3,9,241,1663,280,15,0.4,2.9,98,186,4.1,9,0.32,14,15.3,4,54.3,15.3,26.1,0.3,0.26,3.55,43,21,36,1.37,27.8,15.1,unsuitable,high,unsuitable,media,media,media,low,unsuitable,high,high,high,media,high,media,media,high,media
6,5.9,5,3,109,1200,222,35,0.2,2.3,82,144,2,8,0.16,20,9.9,2.8,60.6,18.7,17.2,0.4,0.16,3.24,45,19,36,1.38,27.3,14.8,low,media,unsuitable,media,media,media,high,unsuitable,high,high,high,low,high,unsuitable,media,unsuitable,media
7,5.4,4.2,2,86,963,185,87,0.2,1.1,71,130,0.9,12,0.16,12,9.2,2.4,52.3,16.8,28.3,0.6,0.13,3.11,48,15,37,1.39,27,14.7,unsuitable,media,unsuitable,media,low,media,high,unsuitable,media,high,high,unsuitable,high,unsuitable,media,unsuitable,bad
8,5.5,5,2,134,1170,212,52,0.3,1.8,74,132,1.5,12,0.18,11,10.8,3.2,54.2,16.4,25.9,0.5,0.17,3.3,46,18,36,1.38,27.1,14.7,unsuitable,media,unsuitable,media,media,media,high,unsuitable,high,high,high,low,high,low,media,unsuitable,media
9,4.9,5,83,83,1024,112,44,0.1,4.6,121,161,2.5,6,0.2,19,11.2,1.9,45.7,8.3,43.8,0.2,0.22,5.51,45,21,34,1.39,26.6,14.5,unsuitable,media,high,media,media,low,high,unsuitable,high,high,high,low,high,low,media,high,media
10,4.5,5,39,64,344,49,92,0.1,4.8,117,182,2.1,5,0.1,4,5.5,3,31.3,7.4,58.2,0.4,0.5,4.23,50,14,36,1.4,26.2,14.2,unsuitable,media,media,low,unsuitable,unsuitable,high,unsuitable,high,high,high,low,high,unsuitable,media,unsuitable,bad
11,4.7,4.4,7,46,512,68,63,0.1,3.7,94,303,3.6,9,0.08,8,6.7,1.8,38.2,8.5,50.7,0.6,0.17,4.49,47,17,36,1.39,26.9,14.6,unsuitable,media,unsuitable,low,low,low,high,unsuitable,high,high,high,media,high,unsuitable,media,unsuitable,bad
12,5.1,5,33,72,783,100,68,0.1,4.1,107,252,2.8,8,0.14,15,8,2.3,48.9,10.4,37.5,0.4,0.25,4.7,46,19,35,1.39,26.8,14.5,unsuitable,media,media,low,low,low,high,unsuitable,high,high,high,low,high,unsuitable,media,unsuitable,bad
13,4.9,5.3,75,79,388,72,27,0.1,1.4,180,25,1.3,9,0.09,6,5,4.1,38.8,12,44,0.8,0.33,3.23,51,14,35,1.4,25.6,13.9,unsuitable,high,high,low,unsuitable,low,high,unsuitable,high,high,media,low,high,unsuitable,media,unsuitable,bad
14,4.5,5,35,53,258,48,31,0.1,1.4,129,24,1.3,7,0.08,9,4.5,3,28.7,8.9,57.8,0.7,0.25,3.22,48,16,36,1.39,26.7,14.5,unsuitable,media,media,low,unsuitable,unsuitable,high,unsuitable,high,high,media,low,high,unsuitable,media,unsuitable,bad
15,5.5,5,11,54,323,54,28,0.1,1.5,95,25,1.3,13,0.03,3,3.1,4.5,52.1,14.5,25.8,1.8,0.2,3.59,51,12,37,1.4,26.3,14.3,unsuitable,media,low,low,unsuitable,unsuitable,high,unsuitable,high,high,media,low,high,unsuitable,media,unsuitable,bad
16,4.9,5,36,70,315,58,25,0.1,1.4,129,20,1.2,9,0.1,5,4.1,4.4,38.4,11.8,43.9,1,0.4,3.25,48,14,38,1.38,27.4,14.8,unsuitable,media,media,low,unsuitable,unsuitable,high,unsuitable,high,high,media,low,high,unsuitable,media,unsuitable,bad
17,6,7.4,68,213,3411,463,10,0.5,1.3,135,32,6.1,11,0.22,29,25.3,2.2,67.4,15.3,15,0.2,0.13,4.41,44,21,35,1.38,27.2,14.8,low,high,high,media,high,media,low,low,high,high,high,high,high,high,media,high,good
18,6,7.5,69,183,3488,371,9,0.4,1.3,134,25,5.9,14,0.25,33,24.8,1.9,70.3,12.5,14.9,0.2,0.16,5.62,42,24,34,1.38,27.3,14.8,low,high,high,media,high,high,unsuitable,unsuitable,high,high,media,high,high,high,media,high,good
19,6,7.2,42,192,3637,404,7,0.4,1.2,115,30,3.7,15,0.17,37,26,1.9,69.9,12.9,15,0.3,0.15,5.42,43,24,33,1.39,26.7,14.5,low,high,high,media,high,high,unsuitable,unsuitable,media,high,high,media,high,high,media,high,good
20,5.9,7.5,60,200,3660,431,11,0.4,1.2,118,22,5.4,12,0.21,20,27,1.9,67.8,13.3,16.7,0.2,0.14,5.1,42,22,36,1.37,28,15.2,low,high,high,media,high,high,low,unsuitable,media,high,media,high,high,high,media,high,good
21,5,5.2,47,188,907,105,40,0.2,2.3,108,100,3.1,7,0.2,17,10,4.8,45.4,8.8,41,0.3,0.56,5.16,46,16,38,1.38,27.8,15.1,unsuitable,high,high,media,low,low,high,unsuitable,high,high,high,media,high,low,media,unsuitable,media
22,4.8,5,17,94,410,47,72,0.1,2.3,96,101,2.1,6,0.09,9,5.1,4.7,40.2,7.7,47.1,0.5,0.5,5.22,47,15,38,1.38,27.6,15,unsuitable,media,low,media,low,unsuitable,high,unsuitable,high,high,high,low,high,unsuitable,media,unsuitable,bad
23,4.5,4.6,3,67,301,39,97,0.2,2.2,121,144,1.8,9,0.08,7,4.8,3.6,31.4,6.8,58.3,0.8,0.67,4.62,49,15,36,1.39,26.4,14.3,unsuitable,media,unsuitable,low,unsuitable,unsuitable,high,unsuitable,high,high,high,low,high,unsuitable,media,unsuitable,bad
24,4.9,5,14,133,655,71,85,0.2,2.3,102,126,2.4,10,0.12,10,7.6,4.5,43.1,7.8,43.4,0.6,0.5,5.53,14,40,46,1.24,37.9,20.6,unsuitable,media,low,media,low,low,high,unsuitable,high,high,high,low,high,unsuitable,media,media,bad
25,4.4,6,167,114,383,57,28,0.2,2.1,155,33,2.3,32,0.33,5,7.4,4,25.9,6.4,62.2,1.9,0.62,4.05,47,26,27,1.42,23.7,12.9,unsuitable,high,high,media,unsuitable,unsuitable,high,unsuitable,high,high,high,low,high,unsuitable,media,low,bad
26,5,6,242,145,691,132,15,0.2,2.9,160,38,2.5,26,0.16,4,8.5,4.4,40.6,12.9,41.2,1.3,0.34,3.15,46,26,28,1.41,24.3,13.2,unsuitable,high,high,media,low,low,low,unsuitable,high,high,high,low,high,unsuitable,media,low,bad
27,6.4,5.3,55,253,2253,311,18,0.6,1.5,86,18,4.6,31,0.24,22,16,4.1,70.4,16.2,8.8,0.8,0.25,4.35,27,41,32,1.34,30,16.3,media,high,high,media,high,media,media,low,high,high,media,media,high,media,media,high,media
28,6.9,5.9,35,462,2721,224,11,0.7,1.2,79,28,3.5,27,0.26,12,17.1,6.9,79.6,10.9,1.8,0.7,0.63,7.3,26,41,33,1.33,30.6,16.6,high,high,media,media,high,media,low,low,media,high,media,media,high,media,media,high,media
29,5.7,5.3,27,80,1321,210,16,0.3,1.3,96,96,1.9,27,0.11,35,11,1.9,60,15.9,20.9,1.1,0.12,3.77,46,19,35,1.39,26.8,14.5,low,high,media,low,media,media,media,unsuitable,high,high,high,low,high,low,media,unsuitable,media
30,5.8,4.1,20,119,1375,212,17,0.2,1.5,104,97,1.6,23,0.12,38,11.2,2.7,61.4,15.8,18.8,1,0.17,3.89,47,17,36,1.39,26.9,14.6,low,media,media,media,media,media,media,unsuitable,high,high,high,low,high,low,media,unsuitable,media
31,6.1,6.8,17,113,2712,352,13,0.7,3.4,102,125,11.5,27,0.22,21,19.7,1.5,68.8,14.9,14.2,0.6,0.1,4.62,29,40,31,1.35,29.2,15.9,media,high,low,media,high,media,low,low,high,high,high,high,high,media,media,high,media
32,6.4,1.5,57,292,959,82,24,0.5,0.8,40,157,1.1,32,0.22,14,7,10.7,68.5,9.8,8.6,2,1.1,6.99,29,39,32,1.34,29.6,16.1,media,unsuitable,high,media,low,low,high,low,low,high,high,low,high,unsuitable,media,high,bad
33,6.2,6.8,15,117,2165,287,14,0.6,3,92,112,10,24,0.28,33,15.5,1.9,69.8,15.4,12.3,0.7,0.13,4.53,47,15,38,1.38,27.6,15,media,high,low,media,high,media,low,low,high,high,high,high,high,media,media,unsuitable,media
34,4.5,4.2,118,256,1098,68,91,0.2,4.7,175,386,5.6,30,0.5,11,16.3,4,33.7,3.5,58.3,0.8,1.16,9.63,49,15,36,1.39,26.4,14.3,unsuitable,media,high,media,media,low,high,unsuitable,high,high,high,high,high,media,media,unsuitable,media
35,6.1,3.8,11,54,2182,895,9,0.3,0.8,131,66,1,134,0.16,21,22.2,0.6,49.1,33.6,14,2.6,0.02,1.46,22,42,36,1.31,32.6,17.7,media,media,low,low,high,high,unsuitable,unsuitable,low,high,high,unsuitable,high,high,unsuitable,high,bad
36,6.2,3.6,4,28,1519,501,4,0.2,0.7,97,50,0.8,59,0.12,17,13.8,0.5,55,30.3,12.3,1.9,0.02,1.82,17,43,40,1.28,35.1,19.1,media,media,unsuitable,unsuitable,media,high,unsuitable,unsuitable,low,high,high,unsuitable,high,low,low,media,bad
37,7.3,3.6,2,46,2941,1257,4,0.4,0.7,74,51,0.8,178,0.17,25,26.1,0.5,56.3,40.1,0,3,0.01,1.4,26,39,35,1.32,31.3,17,high,media,unsuitable,low,high,high,unsuitable,unsuitable,low,high,high,unsuitable,high,high,unsuitable,high,bad
38,6.2,3.8,13,35,1728,632,10,0.2,0.8,113,45,1,64,0.16,22,16.2,0.6,53.3,32.5,11.7,1.7,0.02,1.64,25,41,34,1.32,31.2,16.9,media,media,low,unsuitable,media,high,low,unsuitable,low,high,high,unsuitable,high,media,low,high,bad
39,6.8,3.6,2,30,2412,896,7,0.2,0.7,86,51,0.9,90,0.21,31,20.6,0.4,58.5,36.2,2.9,1.9,0.01,1.62,27,37,36,1.32,31.4,17.1,high,media,unsuitable,unsuitable,high,high,unsuitable,unsuitable,low,high,high,unsuitable,high,high,low,high,bad
40,7,3.6,2,32,1687,760,11,0.2,0.6,58,43,0.7,124,0.16,8,15.5,0.5,54.4,40.9,0.6,3.5,0.01,1.33,27,36,37,1.32,31.8,17.2,high,media,unsuitable,unsuitable,media,high,low,unsuitable,low,high,high,unsuitable,high,media,unsuitable,high,bad
41,6.2,4.7,2,92,2357,846,11,0.3,0.8,84,34,0.9,47,0.18,31,21.9,1.1,53.8,32.2,11.9,0.9,0.03,1.67,17,42,41,1.27,35.4,19.2,media,media,unsuitable,media,high,high,low,unsuitable,low,high,high,unsuitable,high,high,low,media,media
42,6.2,4.1,3,48,2631,983,17,0.2,0.8,95,40,0.8,71,0.17,29,24.8,0.5,53,33,12.1,1.2,0.02,1.61,12,47,41,1.26,36.6,19.9,media,media,unsuitable,low,high,high,media,unsuitable,low,high,high,unsuitable,high,high,low,media,media
43,6.6,3.5,1,42,2113,922,12,0.2,0.6,72,40,0.8,75,0.17,20,19.9,0.5,53.1,38.6,6,1.6,0.01,1.38,17,41,42,1.27,35.8,19.4,high,media,unsuitable,low,high,high,low,unsuitable,low,high,high,unsuitable,high,media,unsuitable,media,bad
44,6.4,4.2,9,51,2960,755,100,0.3,0.7,69,57,1.3,33,0.13,33,23.5,0.6,63,26.8,8.9,0.6,0.02,2.35,45,21,34,1.39,26.6,14.5,media,media,unsuitable,low,high,high,high,unsuitable,low,high,high,low,high,high,low,high,good
45,6.5,4.1,2,30,3625,786,11,0.3,0.8,77,64,1.1,40,0.13,14,26.9,0.3,674,24.3,7.4,0.6,0.01,2.77,40,26,34,1.37,27.8,15.1,media,media,unsuitable,unsuitable,high,high,low,unsuitable,low,high,high,low,high,high,media,high,good
46,6.9,1.8,1,18,1419,394,2,0.2,0.4,77,66,0.7,42,0.13,7,10.8,0.4,65.7,30.4,1.9,1.7,0.01,2.16,40,27,33,1.38,27.4,14.9,high,unsuitable,unsuitable,unsuitable,media,high,unsuitable,unsuitable,low,high,high,unsuitable,high,low,low,high,bad
47,5.9,4.1,2,39,2903,645,14,0.3,0.8,91,48,0.9,36,0.32,35,24.2,0.4,60,22.2,16.9,0.6,0.02,2.7,10,44,46,1.23,38.8,21.1,low,media,unsuitable,unsuitable,high,high,low,unsuitable,low,high,high,unsuitable,high,high,media,media,bad
48,6.4,4.1,3,37,3522,946,17,0.2,1,97,49,1.1,55,0.23,20,28.4,0.3,62,27.8,9.2,0.8,0.01,2.23,12,42,46,1.24,38.3,20.8,media,media,unsuitable,unsuitable,high,high,media,unsuitable,media,high,high,low,high,high,low,media,media
49,6.8,3.3,1,25,3231,738,14,0.2,0.5,73,79,2.1,46,0.2,17,23.3,0.3,69.3,26.4,3,0.9,0.01,2.63,14,40,46,1.24,37.9,20.6,high,media,unsuitable,unsuitable,high,high,low,unsuitable,low,high,high,low,high,high,media,media,media
50,5.7,7.1,11,158,900,90,22,0.3,1.7,55,61,3.7,16,0.16,8,7.2,5.6,62.5,10.4,20.8,1,0.54,6.01,51,13,36,1.4,26,14.1,media,high,low,media,low,low,high,unsuitable,high,high,high,media,high,unsuitable,media,unsuitable,media
51,5.2,6.8,7,98,453,55,32,0.2,1.8,60,59,2.3,10,0.12,3,4.6,5.5,49.2,10,34.8,0.9,0.55,4.92,50,15,35,1.4,25.9,14,unsuitable,high,unsuitable,media,low,unsuitable,high,unsuitable,high,high,high,low,high,unsuitable,media,unsuitable,bad
52,5.4,6,4,72,452,57,31,0.1,1.6,57,50,1.4,11,0.12,11,4.2,4.4,53.8,11.3,28.6,1.1,0.39,4.76,47,18,35,1.39,26.5,14.4,unsuitable,high,unsuitable,low,low,unsuitable,high,unsuitable,high,high,high,low,high,unsuitable,media,unsuitable,bad
53,6.8,7.1,15,367,3081,172,14,1,2.1,100,72,9.9,10,0.21,12,18.4,5.1,83.7,7.8,3.3,0.2,0.66,10.73,21,47,32,1.32,31.4,17,high,high,low,media,high,media,low,media,high,high,high,high,high,media,media,high,good
54,6.5,5,6,209,1807,152,13,0.5,1.4,89,35,3.6,12,0.15,17,11.8,4.5,76.6,10.7,7.6,0.4,0.42,1.76,24,44,32,1.33,30.7,16.7,media,media,unsuitable,media,media,low,low,low,high,high,high,media,high,low,low,high,media
55,6.7,4.3,6,180,1539,145,9,0.3,1.5,90,35,2.5,15,0.13,19,9.8,4.7,78.5,12.3,4.1,0.7,0.38,6.38,16,44,40,1.27,35.3,19.2,high,media,unsuitable,media,media,low,unsuitable,unsuitable,high,high,high,low,high,unsuitable,media,media,media
56,6.9,5.3,14,177,5703,285,8,0.7,2.8,81,49,4.2,16,0.23,22,31.9,1.4,89.4,7.4,1.6,0.2,0.19,12.08,30,39,31,1.35,29,15.7,high,high,low,media,high,media,unsuitable,low,high,high,high,media,high,high,media,high,good
57,7.2,5,10,133,6065,339,10,0.8,3.8,106,63,5.4,24,0.18,31,33.6,1,90.3,8.4,0,0.3,0.12,10.75,31,36,33,1.35,29.5,16,high,media,low,media,high,media,low,low,high,high,high,high,high,high,media,high,good
58,7.7,5.3,6,107,8922,324,16,0.8,3.4,99,67,3.7,39,0.27,39,47.8,0.6,93.3,5.6,0,0.4,0.1,16.66,30,30,40,1.32,32.1,17.4,media,high,unsuitable,media,high,media,media,low,high,high,high,media,high,high,high,media,good
59,5.1,6,39,122,696,83,8,0.2,2.6,144,39,4.1,10,0.16,5,7.3,4.3,47.7,9.5,38.4,0.6,0.45,5.02,48,17,35,1.39,26.3,14.3,unsuitable,high,media,media,low,low,unsuitable,unsuitable,high,high,high,media,high,unsuitable,media,unsuitable,bad
60,5.2,5,16,80,923,110,12,0.2,2.6,131,32,2.6,12,0.14,16,8.8,2.3,52.4,10.4,34.1,0.6,0.22,5.04,45,19,36,1.38,27.3,14.8,unsuitable,media,low,low,low,low,low,unsuitable,high,high,high,low,high,unsuitable,media,unsuitable,bad
61,5.5,5,8,49,1126,119,14,0.2,2.5,121,36,2,16,0.12,7,9.2,1.4,61.2,10.8,26.1,0.8,0.13,5.67,48,15,37,1.39,27,14.7,unsuitable,media,unsuitable,low,media,low,low,unsuitable,high,high,high,low,high,unsuitable,media,unsuitable,bad
62,7,3.6,42,70,2792,495,9,0.6,1.6,94,76,1.7,48,0.18,17,18.6,1,75.1,22.2,0.5,1.1,0.04,3.38,47,14,39,1.38,27.9,15.2,high,media,high,low,high,high,unsuitable,low,high,high,high,low,high,media,media,unsuitable,good
63,7.2,3.6,34,60,3335,649,9,0.6,1.8,107,53,1.8,78,0.18,25,22.6,0.7,73.8,23.9,0,1.5,0.03,3.09,48,14,38,1.38,27.4,14.8,high,media,media,low,high,high,unsuitable,low,high,high,high,low,high,high,media,unsuitable,good
64,7,3.2,19,48,2848,722,5,0.4,1.5,98,57,0.9,84,0.14,19,20.8,0.6,68.5,28.9,0.5,1.8,0.02,2.37,49,14,37,1.39,26.8,14.5,high,media,media,low,high,high,unsuitable,unsuitable,high,high,high,unsuitable,high,high,low,unsuitable,good
65,6.6,3.8,15,104,2382,514,10,0.4,1.1,173,77,1.8,41,0.1,22,17.7,1.5,67.3,24.2,6.2,1,0.06,2.78,48,16,36,1.39,26.7,14.5,high,media,low,media,high,high,low,unsuitable,media,high,high,low,high,media,media,unsuitable,media
66,6.3,3.4,5,70,2031,513,8,0.3,0.8,135,44,1.2,42,0.09,14,16.5,1.1,61.5,25.9,10.3,1.1,0.04,2.37,50,14,36,1.4,26.2,14.2,media,media,unsuitable,low,high,high,unsuitable,unsuitable,low,high,high,low,high,media,low,unsuitable,bad
67,6.3,3.2,3,43,2120,581,11,0.2,0.7,112,25,0.5,55,0.09,29,17.7,0.6,59.9,27.4,10.7,1.4,0.02,2.19,46,18,36,1.38,27.1,14.7,media,media,unsuitable,low,high,high,low,unsuitable,low,high,media,unsuitable,high,media,low,unsuitable,bad
68,6.1,3.5,13,47,1735,556,12,0.2,0.9,138,71,1.2,85,0.1,15,16,0.8,54.2,29,13.8,2.3,0.03,1.87,48,22,30,1.41,24.6,13.3,media,media,low,low,media,high,low,unsuitable,media,high,high,low,high,media,low,low,media
69,6.3,3.4,7,35,2378,709,6,0.3,0.6,95,48,0.5,71,0,21,20.3,0.4,58.6,29.1,10.3,1.5,0.02,2.01,46,25,29,1.41,24.7,13.4,media,media,unsuitable,unsuitable,high,high,unsuitable,unsuitable,low,high,high,unsuitable,high,high,low,low,bad
70,6.5,3,7,37,1667,567,8,0.2,0.6,110,73,0.5,47,0.16,9,14.5,0.7,57.5,32.6,7.6,1.4,0.02,1.76,48,25,27,1.42,23.5,12.8,media,media,unsuitable,unsuitable,media,high,unsuitable,unsuitable,low,high,high,unsuitable,high,low,low,low,bad
71,5.9,3.4,30,88,1386,258,12,0.2,1.2,177,52,2,34,0.11,10,11.4,2,60.8,18.9,16.7,1.3,0.1,3.22,50,11,39,1.39,27.3,14.8,low,media,media,media,media,media,low,unsuitable,media,high,high,low,high,low,media,unsuitable,media
72,6.3,3.2,23,39,1645,291,10,0.2,1.1,151,64,1.5,46,0.09,7,12.3,0.8,66.9,19.7,10.6,1.6,0.04,3.4,49,12,39,1.38,27.5,14.9,media,media,media,unsuitable,media,media,low,unsuitable,media,high,high,low,high,low,media,unsuitable,media
73,6.4,2.5,65,70,1891,238,10,0.2,3.1,184,93,2.8,40,0.07,9,13,1.4,72.7,15.3,9.2,1.3,0.09,4.75,51,12,37,1.4,26.3,14.3,media,low,high,low,media,media,low,unsuitable,high,high,high,low,high,low,media,unsuitable,media
